SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,January-21-2021,Single Family Residential,9705 Port Huron Ln,Las Vegas,NV,89134,375000,4,3.0,Amarante At Summerlin,1900,4792,1993,259,197,50,Sold,,,http://www.redfin.com/NV/Las-Vegas/9705-Port-Huron-Ln-89134/home/29156203,GLVAR,2248373,N,Y,36.202963,-115.3063766
PAST SALE,October-9-2019,Single Family Residential,4535 Maulding Ave,Las Vegas,NV,89139,455000,3,2.5,RE ESTATES,2234,22216,1976,729,204,,Sold,,,http://www.redfin.com/NV/Las-Vegas/4535-W-Maulding-Ave-89139/home/29596602,GLVAR,2115458,N,Y,36.0513892,-115.202417
PAST SALE,January-25-2021,Single Family Residential,608 Jones Blvd,Las Vegas,NV,89107,296900,4,3.0,Charleston Heights Tr #45C,2128,8276,1964,255,140,,Sold,,,http://www.redfin.com/NV/Las-Vegas/608-N-Jones-Blvd-89107/home/145536193,GLVAR,2247268,N,Y,36.179096,-115.2236054
PAST SALE,September-8-2021,Single Family Residential,2705 Cherry Springs Ct,Las Vegas,NV,89117,485000,4,3.0,Style At The Lakes Amd,2148,4792,1987,29,226,22,Sold,,,http://www.redfin.com/NV/Las-Vegas/2705-Cherry-Springs-Ct-89117/home/29531021,GLVAR,2319180,N,Y,36.1425916,-115.2954034
PAST SALE,May-6-2021,Single Family Residential,2874 Tori Way,Henderson,NV,89074,372000,3,2.0,Shenandoah Ridge-Amd,1364,6098,1989,154,273,,Sold,,,http://www.redfin.com/NV/Henderson/2874-Tori-Way-89074/home/29617689,GLVAR,2278862,N,Y,36.0395343,-115.1127388
PAST SALE,December-20-2019,Single Family Residential,3202 Panamint Ct,North Las Vegas,NV,89032,242500,3,2.0,GOWAN EST,1540,6534,1996,657,157,,Sold,,,http://www.redfin.com/NV/North-Las-Vegas/3202-Panamint-Ct-89032/home/29248718,GLVAR,2146448,N,Y,36.2272614,-115.1834274
PAST SALE,March-18-2021,Single Family Residential,1826 Indian Rock Rd,North Las Vegas,NV,89031,300000,3,2.0,Eldorado #9-R1-60 #6,1826,6970,1999,203,164,10,Sold,,,http://www.redfin.com/NV/North-Las-Vegas/1826-Indian-Rock-Rd-89031/home/29077828,GLVAR,2269456,N,Y,36.2727884,-115.1684664
PAST SALE,May-18-2021,Single Family Residential,2290 Tenaya Way,Las Vegas,NV,89117,650000,4,2.5,,2760,20473,1982,142,236,,Sold,,,http://www.redfin.com/NV/Las-Vegas/2290-S-Tenaya-Way-89117/home/29520628,GLVAR,2268819,N,Y,36.1463258,-115.251669
PAST SALE,September-25-2020,Single Family Residential,7943 Long Beach St,Las Vegas,NV,89139,288000,3,2.0,Blue Diamond Ranch,1314,4356,2001,377,219,13,Sold,,,http://www.redfin.com/NV/Las-Vegas/7943-Long-Beach-St-89139/home/29901530,GLVAR,2226011,N,Y,36.0454923,-115.207419
PAST SALE,August-27-2021,Single Family Residential,9516 Echo Glen Dr,Las Vegas,NV,89117,450000,4,3.0,Vista Del Lago,2132,5227,1988,41,211,77,Sold,,,http://www.redfin.com/NV/Las-Vegas/9516-Echo-Glen-Dr-89117/home/29531344,GLVAR,2317287,N,Y,36.13175,-115.3031356
PAST SALE,March-16-2020,Single Family Residential,5016 Stone Bay Ave,Las Vegas,NV,89131,348000,4,2.5,PAVONA EST,2177,5227,2004,570,160,48,Sold,,,http://www.redfin.com/NV/Las-Vegas/5016-Stone-Bay-Ave-89131/home/28984783,GLVAR,2167221,N,Y,36.2945702,-115.2095494
PAST SALE,November-5-2019,Single Family Residential,852 Wallach Ave,Las Vegas,NV,89123,265000,2,2.0,MARYLAND PEBBLE,1179,4792,1997,702,225,15,Sold,,,http://www.redfin.com/NV/Las-Vegas/852-Wallach-Ave-89123/home/29631287,GLVAR,2139929,N,Y,36.0264338,-115.1439623
PAST SALE,January-14-2021,Single Family Residential,8229 Antler Pines Ct,Las Vegas,NV,89149,485000,5,3.0,Deer Spgs Ranch,3165,6970,1998,266,153,32,Sold,,,http://www.redfin.com/NV/Las-Vegas/8229-Antler-Pines-Ct-89149/home/29091908,GLVAR,2244054,N,Y,36.2822588,-115.2758406
PAST SALE,February-28-2020,Single Family Residential,3640 Via Marliana,Henderson,NV,89052,310000,3,2.5,VILLAGE OF AVELLINO-UNIT 3 AMD,1626,3049,2013,587,191,95,Sold,,,http://www.redfin.com/NV/Henderson/3640-Via-Marliana-89052/home/52628191,GLVAR,2168115,N,Y,35.9863076,-115.1473902
PAST SALE,December-3-2020,Single Family Residential,7182 Steubling Glen St,North Las Vegas,NV,89084,310000,3,3.0,Square At North Ranch Amd,2036,3485,2017,308,152,70,Sold,,,http://www.redfin.com/NV/North-Las-Vegas/7182-Steubling-Glen-St-89084/home/143188411,GLVAR,2242088,N,Y,36.2906106,-115.138497
PAST SALE,January-28-2021,Single Family Residential,7133 Pipers Run Pl,North Las Vegas,NV,89084,419000,3,2.0,"Aliante Parcels 31A,31B & 31C",1992,6098,2006,252,210,45,Sold,,,http://www.redfin.com/NV/North-Las-Vegas/7133-Pipers-Run-Pl-89084/home/29226378,GLVAR,2249450,N,Y,36.2906714,-115.1720099
PAST SALE,May-29-2020,Single Family Residential,33 Pine Blossom Ave,Las Vegas,NV,89031,260000,3,2.5,Sierra Ranch-Village 4 Unit 2,1622,3920,2008,496,160,113,Sold,,,http://www.redfin.com/NV/North-Las-Vegas/33-Pine-Blossom-Ave-89031/home/29269932,GLVAR,2191880,N,Y,36.2654822,-115.1408123
PAST SALE,July-26-2021,Single Family Residential,6109 Casa Antiqua St,North Las Vegas,NV,89081,348000,3,3.0,Terracina,1959,3485,2004,73,178,62,Sold,,,http://www.redfin.com/NV/North-Las-Vegas/6109-Casa-Antiqua-St-89081/home/29016512,GLVAR,2308947,N,Y,36.2711798,-115.0982842
PAST SALE,November-8-2019,Single Family Residential,5102 Silent Valley Ave,Las Vegas,NV,89139,275000,3,2.5,SUNSET PASS UNIT 2,1739,3049,2007,699,158,50,Sold,,,http://www.redfin.com/NV/Las-Vegas/5102-Silent-Valley-Ct-89139/home/29054468,GLVAR,2131641,N,Y,36.0347518,-115.2109388
PAST SALE,August-13-2021,Single Family Residential,6993 Point Cabrillo Ct,Las Vegas,NV,89113,400000,3,2.0,Shadowbrook Falls,1600,4356,2004,55,250,70,Sold,,,http://www.redfin.com/NV/Las-Vegas/6993-Point-Cabrillo-Ct-89113/home/28980145,GLVAR,2311156,N,Y,36.0440773,-115.2451627
PAST SALE,September-23-2021,Single Family Residential,8735 Glennaire Way,Las Vegas,NV,89123,575000,4,3.0,Maryland Pebble,2313,12632,1996,14,249,29,Sold,,,http://www.redfin.com/NV/Las-Vegas/8735-Glennaire-Way-89123/home/29625370,GLVAR,2325688,N,Y,36.0309615,-115.1383108
PAST SALE,September-11-2020,Single Family Residential,2745 Mccoy Dr,Las Vegas,NV,89134,340000,2,2.0,Sun City Summerlin,1629,7841,1990,391,209,122,Sold,,,http://www.redfin.com/NV/Las-Vegas/2745-McCoy-Dr-89134/home/29153594,GLVAR,2207810,N,Y,36.2108743,-115.3045709
PAST SALE,July-21-2020,Single Family Residential,677 Riverband,Henderson,NV,89052,414000,3,2.0,Southfork Parcel 1,1728,6534,1998,443,240,28,Sold,,,http://www.redfin.com/NV/Henderson/677-Riverband-Pl-89052/home/29637042,GLVAR,2202471,N,Y,36.005825,-115.1084766
PAST SALE,May-14-2020,Single Family Residential,7501 Central Butte,Las Vegas,NV,89129,300000,3,2.0,Pioneer Est West-Phase 7,1884,6970,1998,511,159,,Sold,,,http://www.redfin.com/NV/Las-Vegas/7501-W-Central-Butte-Ave-89129/home/29129363,GLVAR,2189293,N,Y,36.225928,-115.2584298
PAST SALE,September-14-2020,Single Family Residential,9844 Serona Heights Ct,Las Vegas,NV,89178,375000,4,2.5,Via Valencia Via Ventura,2044,3920,2007,388,183,25,Sold,,,http://www.redfin.com/NV/Las-Vegas/9844-S-Serona-Heights-Ct-89178/home/29046075,GLVAR,2217484,N,Y,36.0093571,-115.283689
PAST SALE,December-21-2020,Single Family Residential,4349 E Azure Ave,Las Vegas,NV,89115,290000,4,3.0,Lamb & Tropical,2070,4356,2006,290,140,55,Sold,,,http://www.redfin.com/NV/Las-Vegas/4349-E-Azure-Ave-89115/home/28964194,GLVAR,2249458,N,Y,36.2727826,-115.0779447
PAST SALE,May-7-2020,Single Family Residential,1225 Triumph,Las Vegas,NV,89117,365000,4,2.5,Signature At Peccole Ranch 2- Unit 4,2080,4792,1992,518,175,100,Sold,,,http://www.redfin.com/NV/Las-Vegas/1225-Triumph-Ct-89117/home/29526333,GLVAR,2178562,N,Y,36.1563698,-115.3019781
PAST SALE,October-16-2020,Single Family Residential,689 Brandy Hill Pl,Henderson,NV,89052,450000,5,3.0,Southfork Parcel 4,2745,7841,2002,356,164,63,Sold,,,http://www.redfin.com/NV/Henderson/689-Brandy-Hill-Pl-89052/home/29876057,GLVAR,2225599,N,Y,36.0078285,-115.1044924
PAST SALE,,Single Family Residential,8336 Granite Peak Ct,Las Vegas,NV,89145,237000,3,2.0,,1423,3920,1992,,167,,,,,http://www.redfin.com/NV/Las-Vegas/8336-Granite-Peak-Ct-89145/home/29215779,,,N,Y,36.1670231,-115.2751229
PAST SALE,October-2-2020,Single Family Residential,7033 Whispering Falls Dr,North Las Vegas,NV,89084,343000,4,3.5,Tierra Santa Phase 1,2202,4356,2017,370,156,70,Sold,,,http://www.redfin.com/NV/North-Las-Vegas/7033-Whispering-Fls-89084/home/144625131,GLVAR,2208988,N,Y,36.288456,-115.136021
PAST SALE,April-13-2021,Single Family Residential,9329 Sienna Vista Dr,Las Vegas,NV,89117,621500,4,3.0,Sienna Ridge,2352,6098,1994,177,264,146,Sold,,,http://www.redfin.com/NV/Las-Vegas/9329-Sienna-Vista-Dr-89117/home/29523314,GLVAR,2278835,N,Y,36.154483,-115.297871
PAST SALE,July-23-2021,Single Family Residential,107 Siddall Ave,Las Vegas,NV,89183,925000,4,3.0,Siddall & Haven,3020,20473,2013,76,306,,Sold,,,http://www.redfin.com/NV/Las-Vegas/107-Siddall-Ave-89183/home/52626525,GLVAR,2298780,N,Y,35.9899083,-115.1679337
PAST SALE,October-27-2020,Single Family Residential,1125 Aspen Valley Ave,Las Vegas,NV,89123,485000,4,3.0,Moondance,3203,8276,1998,345,151,25,Sold,,,http://www.redfin.com/NV/Las-Vegas/1125-Aspen-Valley-Ave-89123/home/29632007,GLVAR,2237780,N,Y,36.0215583,-115.1386814
PAST SALE,September-29-2020,Single Family Residential,2024 Humble Holw,North Las Vegas,NV,89084,435000,3,3.0,Aliante Parcels 30A & 30B,2700,6970,2006,373,161,39,Sold,,,http://www.redfin.com/NV/North-Las-Vegas/2024-Humble-Hollow-Pl-89084/home/29178416,GLVAR,2198764,N,Y,36.2884902,-115.1718246
PAST SALE,November-13-2020,Single Family Residential,6125 Gray Wolf River Way,Las Vegas,NV,89149,675000,4,3.0,Fort Apache & Regena,3617,18295,2013,328,187,76,Sold,,,http://www.redfin.com/NV/Las-Vegas/6125-Gray-Wolf-River-Way-89149/home/52629509,GLVAR,2223271,N,Y,36.2720676,-115.2967693
PAST SALE,January-13-2020,Single Family Residential,928 Glamis Cir,North Las Vegas,NV,89032,205000,2,2.0,HIGHLAND HILLS UNIT 1,959,4356,1996,633,214,,Sold,,,http://www.redfin.com/NV/North-Las-Vegas/928-Glamis-Cir-89032/home/29253631,GLVAR,2155867,N,Y,36.2316897,-115.1556819
PAST SALE,March-29-2021,Single Family Residential,7408 Shelduck St,North Las Vegas,NV,89084,282000,2,2.0,Sun City Aliante Phase 2,1157,3920,2007,192,244,67,Sold,,,http://www.redfin.com/NV/North-Las-Vegas/7408-Shelduck-St-89084/home/29266910,GLVAR,2272035,N,Y,36.2953792,-115.173052
PAST SALE,May-27-2020,Single Family Residential,5144 Silent Vly,Las Vegas,NV,89139,280000,3,2.5,Sunset Pass Unit 2,1739,2614,2007,498,161,50,Sold,,,http://www.redfin.com/NV/Las-Vegas/5144-Silent-Valley-Ct-89139/home/29054461,GLVAR,2191274,N,Y,36.0348575,-115.2113557
PAST SALE,June-26-2020,Single Family Residential,7565 Garden Vlg,Las Vegas,NV,89113,257000,3,2.5,Hampton Village At Nevada Trails,1444,2178,2006,468,178,30,Sold,,,http://www.redfin.com/NV/Las-Vegas/7565-Garden-Village-Ln-89113/home/29034764,GLVAR,2198769,N,Y,36.0508695,-115.2607627
PAST SALE,December-11-2019,Single Family Residential,4405 Acropolis Ave,North Las Vegas,NV,89031,227500,3,2.5,MARAVILLA UNIT 1,1586,2614,2004,666,143,115,Sold,,,http://www.redfin.com/NV/North-Las-Vegas/4405-Acropolis-Ave-89031/home/28977719,GLVAR,2149904,N,Y,36.2646489,-115.2003328
